database,table,name,type,position,default_kind,default_expression,data_compressed_bytes,data_uncompressed_bytes,marks_bytes,comment,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision
opensource,events,issue_labels.default,Array(UInt8),18,,,97031019,919359354,26729064,,0,0,0,0,,,,,,
opensource,events,issue_labels.description,Array(String),19,,,1180581619,19024342507,26729064,,0,0,0,0,,,,,,
opensource,events,issue_author_id,UInt64,20,,,3042486225,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_author_login,LowCardinality(String),21,,,4080330878,16730880988,53458128,,0,0,0,0,,,,,,
opensource,events,issue_author_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",22,,,188628827,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,issue_author_association,"Enum8('COLLABORATOR' = 1, 'CONTRIBUTOR' = 2, 'MEMBER' = 3, 'NONE' = 4, 'OWNER' = 5, 'MANNEQUIN' = 6)",23,,,463438430,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,issue_assignee_id,UInt64,24,,,813450086,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_assignee_login,LowCardinality(String),25,,,699715452,14517624996,53458128,,0,0,0,0,,,,,,
opensource,events,issue_assignees.login,Array(LowCardinality(String)),26,,,1116916282,65107697902,80187192,,0,0,0,0,,,,,,
opensource,events,issue_assignees.id,Array(UInt64),27,,,356886360,1529195912,26729064,,0,0,0,0,,,,,,
opensource,events,issue_created_at,Nullable(DateTime),28,,,4847695781,40267768975,53458128,,0,0,0,0,,,,,,0.0
opensource,events,issue_updated_at,Nullable(DateTime),29,,,6162670272,40267768975,53458128,,0,0,0,0,,,,,,0.0
opensource,events,issue_comments,UInt16,30,,,850501560,16107107590,26729064,,0,0,0,0,,,16.0,2.0,0.0,
opensource,events,issue_closed_at,Nullable(DateTime),31,,,2819400620,40267768975,53458128,,0,0,0,0,,,,,,0.0
opensource,events,issue_comment_id,UInt64,32,,,2549840344,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_comment_created_at,Nullable(DateTime),33,,,1999749479,40267768975,53458128,,0,0,0,0,,,,,,0.0
opensource,events,issue_comment_updated_at,Nullable(DateTime),34,,,1999623966,40267768975,53458128,,0,0,0,0,,,,,,0.0
opensource,events,issue_comment_author_association,"Enum8('COLLABORATOR' = 1, 'CONTRIBUTOR' = 2, 'MEMBER' = 3, 'NONE' = 4, 'OWNER' = 5, 'MANNEQUIN' = 6)",35,,,136328043,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,issue_comment_author_id,UInt64,36,,,927872233,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_comment_author_login,LowCardinality(String),37,,,1214274538,14608796073,53458128,,0,0,0,0,,,,,,
opensource,events,issue_comment_author_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",38,,,84067474,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,pull_commits,UInt16,39,,,413182657,16107107590,26729064,,0,0,0,0,,,16.0,2.0,0.0,
opensource,events,pull_additions,UInt16,40,,,974823434,16107107590,26729064,,0,0,0,0,,,16.0,2.0,0.0,
opensource,events,pull_deletions,UInt16,41,,,849545378,16107107590,26729064,,0,0,0,0,,,16.0,2.0,0.0,
opensource,events,pull_changed_files,UInt32,42,,,854127578,32214215180,26729064,,0,0,0,0,,,32.0,2.0,0.0,
opensource,events,pull_merged,UInt8,43,,,240509676,8053553795,26729064,,0,0,0,0,,,8.0,2.0,0.0,
opensource,events,pull_merge_commit_sha,String,44,,,17976815162,30328441075,26729064,,0,0,0,0,,,,,,
opensource,events,pull_merged_at,Nullable(DateTime),45,,,1459493500,40267768975,53458128,,0,0,0,0,,,,,,0.0
opensource,events,pull_merged_by_id,UInt64,46,,,940617139,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,pull_merged_by_login,LowCardinality(String),47,,,955550687,13674839588,53458128,,0,0,0,0,,,,,,
opensource,events,pull_merged_by_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",48,,,226813901,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,pull_requested_reviewer_id,UInt64,49,,,594037237,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,pull_requested_reviewer_login,LowCardinality(String),50,,,439579477,13417485852,53458128,,0,0,0,0,,,,,,
opensource,events,pull_requested_reviewer_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",51,,,145022367,8053553795,26729064,,0,0,0,0,,,,,,
opensource,events,pull_review_comments,UInt16,52,,,138047761,16107107590,26729064,,0,0,0,0,,,16.0,2.0,0.0,
opensource,events,pull_base_ref,String,53,,,497829256,13339240921,26729064,,0,0,0,0,,,,,,
opensource,events,pull_head_repo_id,UInt64,54,,,1567111131,64428430360,26729064,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,pull_head_repo_name,LowCardinality(String),55,,,4153781246,17863595196,53458128,,0,0,0,0,,,,,,
opensource,events,pull_head_ref,String,56,,,5994961938,28892922855,26729064,,0,0,0,0,,,,,,
opensource,events,repo_description,String,57,,,3914538401,46905157433,26729064,,0,0,0,0,,,,,,
opensource,events,repo_size,UInt32,58,,,1766537142,32214215180,26729064,,0,0,0,0,,,32.0,2.0,0.0,
opensource,events,repo_stargazers_count,UInt32,59,,,629247582,32214215180,26729064,,0,0,0,0,,,32.0,2.0,0.0,
opensource,events,repo_forks_count,UInt32,60,,,580971874,32214215180,26729064,,0,0,0,0,,,32.0,2.0,0.0,
opensource,events,repo_language,String,61,,,562342137,13077105562,26729064,,0,0,0,0,,,,,,
opensource,events,repo_has_issues,UInt8,62,,,105956834,8053553795,26729064,,0,0,0,0,,,8.0,2.0,0.0,
opensource,events,repo_has_projects,UInt8,63,,,81195680,8053553795,26729064,,0,0,0,0,,,8.0,2.0,0.0,
