src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,relation_label_id,relation_type,relation_label_repr,event_id,event_trigger,event_type,event_time,tar_entity_match_text,tar_entity_match_pattern_type
1087960899,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26677017860,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 14:59:10,,
1087960899,PullRequestReviewComment,1271216004,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26677017860,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 14:59:10,,
1087971864,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26677242448,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 15:07:29,,
1087971864,PullRequestReviewComment,1271231910,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26677242448,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 15:07:29,,
1087987185,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26677581528,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 15:20:03,,
1087987185,PullRequestReviewComment,1271255601,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26677581528,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 15:20:03,,
1088330727,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26684821973,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 20:55:48,,
1088330727,PullRequestReviewComment,1271769195,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26684821973,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 20:55:48,,
1088330727,PullRequestReviewComment,299848,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26684821973,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 20:55:48,@jpountz,Actor
1089429508,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26708850548,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-27 21:01:27,,
1089429508,PullRequestReviewComment,1273474869,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26708850548,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-27 21:01:27,,
1065762778,PullRequestReviewComment,4357326,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26334793178,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 13:07:19,,
1065762778,PullRequestReviewComment,1242137915,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26334793178,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-10 13:07:19,,
